Timestamp,Value,IsGood
1900-01-01T00:00:00.000,-0.022807183,TRUE
1900-01-01T00:00:00.001,-0.022591927,TRUE
1900-01-01T00:00:00.002,-0.022375739,TRUE
1900-01-01T00:00:00.003,-0.02215862,TRUE
1900-01-01T00:00:00.004,-0.02194057,TRUE
1900-01-01T00:00:00.005,-0.02172159,TRUE
1900-01-01T00:00:00.006,-0.021501681,TRUE
1900-01-01T00:00:00.007,-0.021280842,TRUE
1900-01-01T00:00:00.008,-0.021059075,TRUE
1900-01-01T00:00:00.009,-0.020836381,TRUE
1900-01-01T00:00:00.010,-0.020612759,TRUE
1900-01-01T00:00:00.011,-0.020388211,TRUE
1900-01-01T00:00:00.012,-0.020162737,TRUE
1900-01-01T00:00:00.013,-0.019936338,TRUE
1900-01-01T00:00:00.014,-0.019709014,TRUE
1900-01-01T00:00:00.015,-0.019480766,TRUE
1900-01-01T00:00:00.016,-0.019251594,TRUE
1900-01-01T00:00:00.017,-0.0190215,TRUE
1900-01-01T00:00:00.018,-0.018790483,TRUE
1900-01-01T00:00:00.019,-0.018558545,TRUE
1900-01-01T00:00:00.020,-0.018325687,TRUE
1900-01-01T00:00:00.021,-0.018091907,TRUE
1900-01-01T00:00:00.022,-0.017857208,TRUE
1900-01-01T00:00:00.023,-0.01762159,TRUE
1900-01-01T00:00:00.024,-0.017385054,TRUE
1900-01-01T00:00:00.025,-0.017147599,TRUE
1900-01-01T00:00:00.026,-0.016909228,TRUE
1900-01-01T00:00:00.027,-0.016669939,TRUE
1900-01-01T00:00:00.028,-0.016429735,TRUE
1900-01-01T00:00:00.029,-0.016188616,TRUE
1900-01-01T00:00:00.030,-0.015946581,TRUE
1900-01-01T00:00:00.031,-0.015703633,TRUE
1900-01-01T00:00:00.032,-0.015459771,TRUE
1900-01-01T00:00:00.033,-0.015214996,TRUE
1900-01-01T00:00:00.034,-0.014969309,TRUE
1900-01-01T00:00:00.035,-0.014722711,TRUE
1900-01-01T00:00:00.036,-0.014475201,TRUE
1900-01-01T00:00:00.037,-0.014226782,TRUE
1900-01-01T00:00:00.038,-0.013977452,TRUE
1900-01-01T00:00:00.039,-0.013727214,TRUE
1900-01-01T00:00:00.040,-0.013476067,TRUE
1900-01-01T00:00:00.041,-0.013224012,TRUE
1900-01-01T00:00:00.042,-0.01297105,TRUE
1900-01-01T00:00:00.043,-0.012717181,TRUE
1900-01-01T00:00:00.044,-0.012462407,TRUE
1900-01-01T00:00:00.045,-0.012206727,TRUE
1900-01-01T00:00:00.046,-0.011950143,TRUE
1900-01-01T00:00:00.047,-0.011692654,TRUE
1900-01-01T00:00:00.048,-0.011434263,TRUE
1900-01-01T00:00:00.049,-0.011174968,TRUE
1900-01-01T00:00:00.050,-0.010914772,TRUE
1900-01-01T00:00:00.051,-0.010653674,TRUE
1900-01-01T00:00:00.052,-0.010391675,TRUE
