Timestamp,Value,IsGood
12:00,0,TRUE
12:01,0.39346934,TRUE
12:02,0.652120559,TRUE
12:03,0.77686984,TRUE
12:04,0.864664717,TRUE
12:05,0.917915001,TRUE
12:06,0.950212932,TRUE
12:07,0.969802617,TRUE
12:08,0.981684361,TRUE
12:09,0.988891003,TRUE
12:10,0.993262053,TRUE
12:11,0.995913229,TRUE
12:12,TRUE,TRUE
12:13,0.998496561,TRUE
12:14,0.999088118,TRUE
12:15,0.999446916,TRUE
12:16,0.999664537,TRUE
12:17,0.999796532,TRUE
12:18,0.99987659,TRUE
12:19,0.999925139,TRUE
12:20,0.9999546,TRUE
12:21,0.999972464,TRUE
12:22,0.999983298,TRUE
12:23,0.99998987,TRUE
12:24,0.999993856,TRUE
12:25,0.999996273,TRUE
12:26,0.99999774,TRUE
12:27,0.999998629,TRUE
12:28,0.999999168,TRUE
12:30,0.999999694,TRUE
12:31,0.999999814,TRUE
12:32,0.999999887,TRUE
12:33,0.999999496,TRUE
12:34,NaN,TRUE
